rank,tier,zip,state,owner,units,fhfa_a1
2200,B,11372,NY,8773,26613,9.65
2201,B,37086,TN,8773,13282,-0.76
2202,B,98661,WA,8772,22291,0.68
2203,B,94523,CA,8772,14585,0.57
2204,B,59715,MT,8770,17116,7.34
2205,B,43537,OH,8767,13071,2.84
2206,B,27103,NC,8766,17884,3.25
2207,B,60646,IL,8765,11636,5.14
2208,B,92805,CA,8764,23195,0.59
2209,B,23453,VA,8763,13056,6.41
2210,B,37830,TN,8762,15110,2.48
2211,B,32250,FL,8760,14935,2.42
2212,B,20169,VA,8759,9511,-1.65
2213,B,85367,AZ,8756,16265,7.37
2214,B,63146,MO,8756,15555,4.88
2215,B,44515,OH,8755,13992,4.66
2216,B,49855,MI,8754,15779,5.91
2217,B,55443,MN,8753,12275,-0.33
2218,B,60544,IL,8752,10553,3.04
2219,B,90049,CA,8751,18684,-6.89
2220,B,60074,IL,8750,14953,6.38
2221,B,23435,VA,8746,13386,9.05
2222,B,32506,FL,8746,16625,7.22
2223,B,78240,TX,8745,27713,2.2
2224,B,37209,TN,8743,21421,1.54
2225,B,97603,OR,8742,13568,1.87
2226,B,49418,MI,8742,12801,3.91
2227,B,29212,SC,8740,13374,-5.35
2228,B,33055,FL,8737,12112,6.27
2229,B,80129,CO,8735,12674,0.96
2230,B,48071,MI,8735,14690,2.39
2231,B,68022,NE,8726,12521,1.43
2232,B,48135,MI,8725,11395,2.22
2233,B,29440,SC,8724,13845,9.95
2234,B,48067,MI,8724,13714,3.03
2235,B,95826,CA,8724,16712,-0.73
2236,B,92115,CA,8723,23448,0.14
2237,B,91786,CA,8723,20094,3.65
2238,B,95370,CA,8722,13985,0.06
2239,B,48126,MI,8721,16919,3.05
2240,B,75009,TX,8719,9943,-3.56
2241,B,95382,CA,8718,14167,1.87
2242,B,50266,IA,8716,18481,2.12
2243,B,16509,PA,8716,12900,8.94
2244,B,77515,TX,8715,13127,-2.52
2245,B,21811,MD,8713,15439,4.49
2246,B,27609,NC,8712,19740,3.66
2247,B,06360,CT,8711,17739,7.74
2248,B,85051,AZ,8709,16818,0.21
2249,B,48433,MI,8707,10597,7.0
2250,B,77066,TX,8706,12156,45.21
2251,B,71854,AR,8703,16882,0.15
2252,B,99645,AK,8698,12021,7.88
2253,B,43004,OH,8698,11343,3.79
2254,B,60015,IL,8693,10657,7.28
2255,B,60714,IL,8689,11867,3.69
2256,B,32778,FL,8687,12720,-4.06
2257,B,78602,TX,8684,13485,-3.93
2258,B,89511,NV,8681,13628,4.57
2259,B,91773,CA,8678,12363,2.09
2260,B,34223,FL,8673,14484,-12.16
2261,B,57108,SD,8671,13933,1.8
2262,B,11550,NY,8669,19579,8.25
2263,B,19131,PA,8664,22826,10.72
2264,B,55446,MN,8664,10852,4.74
2265,B,02302,MA,8664,12828,2.32
2266,B,85711,AZ,8663,19774,2.11
2267,B,60563,IL,8660,16911,5.72
2268,B,95966,CA,8657,13667,-2.26
2269,B,92084,CA,8656,15712,2.64
2270,B,61032,IL,8654,14685,11.47
2271,B,63114,MO,8654,15747,8.01
2272,B,58554,ND,8651,13066,4.77
2273,B,85323,AZ,8650,14953,13.12
2274,B,27455,NC,8650,12822,7.01
2275,B,47933,IN,8647,12254,2.68
2276,B,80017,CO,8645,14810,-1.32
2277,B,95682,CA,8644,12126,3.09
2278,B,11354,NY,8641,22979,-2.98
2279,B,56308,MN,8641,14350,4.02
2280,B,24073,VA,8638,14248,4.53
2281,B,98404,WA,8638,13174,1.43
2282,B,37931,TN,8634,12770,5.71
2283,B,78738,TX,8633,11907,-5.52
2284,B,42141,KY,8633,14385,-1.94
2285,B,81212,CO,8632,12918,3.3
2286,B,40511,KY,8632,14963,10.91
2287,B,77018,TX,8627,13335,2.07
2288,B,02760,MA,8627,12359,4.12
2289,B,27597,NC,8626,11440,3.42
2290,B,21133,MD,8625,12785,5.66
2291,B,37849,TN,8622,11465,4.08
2292,B,27545,NC,8618,12781,2.79
2293,B,84119,UT,8617,16811,-2.01
2294,B,38501,TN,8616,19158,3.26
2295,B,24551,VA,8615,10844,2.16
2296,B,34114,FL,8614,16381,34.88
2297,B,32216,FL,8614,19796,4.73
2298,B,33496,FL,8613,12084,11.01
2299,B,32812,FL,8613,15007,-3.16
2300,B,53095,WI,8613,12741,2.8
2301,B,33604,FL,8611,17053,3.5
2302,B,29673,SC,8611,12585,5.8
2303,B,57401,SD,8607,15016,1.48
2304,B,19026,PA,8607,13643,7.41
2305,B,85132,AZ,8606,11901,2.09
2306,B,34208,FL,8602,17056,-1.14
2307,B,78023,TX,8602,10050,3.89
2308,B,97006,OR,8600,19383,-0.46
2309,B,60504,IL,8600,15029,4.94
2310,B,12401,NY,8599,16914,1.97
2311,B,11763,NY,8599,10001,6.89
2312,B,29926,SC,8593,12642,10.86
2313,B,80909,CO,8593,16572,1.3
2314,B,29550,SC,8592,13913,5.42
2315,B,75089,TX,8591,11951,-4.11
2316,B,36608,AL,8590,17690,7.58
2317,B,30033,GA,8588,15164,-0.05
2318,B,02886,RI,8588,13669,1.68
2319,B,85388,AZ,8586,10880,22.13
2320,B,49428,MI,8584,10312,3.23
2321,B,80112,CO,8582,16874,4.09
2322,B,90044,CA,8579,28770,-1.68
2323,B,06770,CT,8579,13156,4.75
2324,B,53593,WI,8577,12583,2.91
2325,B,60645,IL,8577,18143,5.81
2326,B,92821,CA,8571,15232,-2.4
2327,B,33617,FL,8570,21912,1.94
2328,B,29625,SC,8569,13716,1.35
2329,B,60510,IL,8569,11234,6.79
2330,B,77338,TX,8565,17667,0.11
2331,B,80027,CO,8565,13248,-0.26
2332,B,78041,TX,8565,16760,12.31
2333,B,49024,MI,8561,13232,3.51
2334,B,48161,MI,8560,12015,3.92
2335,B,12302,NY,8559,12406,5.53
2336,B,64801,MO,8553,17460,4.11
2337,B,70056,LA,8551,15784,-2.67
2338,B,34639,FL,8550,11026,2.81
2339,B,95993,CA,8547,13174,-1.26
2340,B,29154,SC,8544,13159,2.8
2341,B,07013,NJ,8544,12005,6.46
2342,B,91770,CA,8542,17704,8.57
2343,B,70403,LA,8541,13577,5.35
2344,B,46804,IN,8539,12959,1.65
2345,B,70808,LA,8537,18833,4.55
2346,B,98074,WA,8535,10220,5.01
2347,B,48371,MI,8532,9928,3.29
2348,B,45429,OH,8529,12806,4.08
2349,B,63367,MO,8527,10884,0.72
2350,B,28213,NC,8526,20484,1.23
2351,B,60133,IL,8525,11573,3.74
